gu,D_name,pm10,pm25,color,lat,lon
종로구,IBK 청량리점 앞,40,32,"rgb(116,217,0)",37.580488,127.044863
종로구,관측망10,29,23,"rgb(0,201,250)",37.553691,126.973729
종로구,종로구,47,31,"rgb(116,217,0)",37.572,127.005
종로구,서울264,87,56,"rgb(255,189,0)",37.570856,126.98744
종로구,서울93,89,57,"rgb(255,189,0)",37.568836,126.976487
종로구,동의보감 건물 앞,57,46,"rgb(116,217,0)",37.578094,127.036627
종로구,서울추가155,34,27,"rgb(116,217,0)",37.55161389,127.0025583
종로구,정릉로,59,44,"rgb(116,217,0)",37.6067,127.0049
종로구,서울77,97,63,"rgb(255,189,0)",37.575793,126.971161
종로구,서울_명소11,100,55,"rgb(255,189,0)",37.544978,127.039458
종로구,kt광화문5,22,14,"rgb(0,201,250)",37.5717,126.9777
종로구,서울1039,87,56,"rgb(255,189,0)",37.571878,126.982805
종로구,기존주소 건너편 앞 ,38,20,"rgb(116,217,0)",37.551128,126.955277
종로구,서울_C2예비27,87,56,"rgb(255,189,0)",37.570192,127.015998
종로구,두산_실외기,58,38,"rgb(116,217,0)",37.5951,126.9901
종로구,서울286,91,49,"rgb(255,189,0)",37.546889,126.960973
종로구,서울186,89,72,"rgb(255,189,0)",37.563878,127.006853
종로구,5층옥탑,39,31,"rgb(116,217,0)",37.5746,127.0378
종로구,서울추가54,89,48,"rgb(255,189,0)",37.55805,127.034192
종로구,청계천로,39,30,"rgb(116,217,0)",37.5686,126.9981
종로구,서울349,77,50,"rgb(116,217,0)",37.565818,126.972629
종로구,서울추가5,100,55,"rgb(255,189,0)",37.5848,127.0184
종로구,왕십리역8번출구,52,28,"rgb(116,217,0)",37.5610,127.0359
종로구,서울217,84,46,"rgb(255,189,0)",37.586582,127.027873
종로구,서대문구,40,25,"rgb(116,217,0)",37.5767,126.9378
종로구,서울추가117,105,68,"rgb(255,189,0)",37.574595,126.997353
종로구,서울C2예비28,81,52,"rgb(255,189,0)",37.573773,127.01873
종로구,광화문사옥4층,63,40,"rgb(116,217,0)",37.571725,126.977862
종로구,서울명소5,85,45,"rgb(255,189,0)",37.550068,126.942143
종로구,태영 아파트 입구,40,24,"rgb(116,217,0)",37.594093,126.947323
종로구,서울294,32,20,"rgb(116,217,0)",37.566987,126.982366
종로구,옥상,35,21,"rgb(116,217,0)",37.5768,126.9390
종로구,서울1076_C2,35,28,"rgb(116,217,0)",37.57337222,127.0518194
종로구,서울_추가164,130,80,"rgb(255,90,0)",37.60865,127.02336
종로구,중아 하이츠 단지내,71,39,"rgb(116,217,0)",37.561644,127.048471
종로구,서울추가155,34,27,"rgb(116,217,0)",37.55161389,127.0025583
종로구,홍릉로,52,39,"rgb(116,217,0)",37.5805,127.0444
종로구,서울262,177,145,"rgb(255,90,0)",37.565709,126.987855
종로구,관측망7,37,20,"rgb(116,217,0)",37.60665833,127.0276278
종로구,100년 설렁탕 앞,60,33,"rgb(116,217,0)",37.588061,127.009885
종로구,서울186,89,72,"rgb(255,189,0)",37.563878,127.006853
종로구,5층옥탑,39,31,"rgb(116,217,0)",37.5746,127.0378
종로구,서울추가54,89,48,"rgb(255,189,0)",37.55805,127.034192
종로구,종로,39,26,"rgb(116,217,0)",37.5709,126.9965
종로구,서울_214,47,38,"rgb(116,217,0)",37.545019,126.969972
종로구,서울1103C2,94,51,"rgb(255,189,0)",37.61031944,127.0121361
종로구,광화문사옥4층,63,40,"rgb(116,217,0)",37.571725,126.977862
종로구,서울125,100,55,"rgb(255,189,0)",37.561878,127.034766
종로구,건물앞,83,45,"rgb(255,189,0)",37.60219,127.025135
종로구,서울추가140,113,73,"rgb(255,189,0)",37.60109389,126.979185
종로구,한강대로,47,34,"rgb(116,217,0)",37.5491,126.9704
종로구,서울1045_C2,66,40,"rgb(116,217,0)",37.620436,127.028721
종로구,서울추가42,85,46,"rgb(255,189,0)",37.583023,127.029189
종로구,광화문사옥15층,29,18,"rgb(0,201,250)",37.571726,126.977917
종로구,서울1010C2,65,42,"rgb(116,217,0)",37.57240278,126.9918111
종로구,동의보감 건물 앞,57,46,"rgb(116,217,0)",37.578094,127.036627
종로구,서울명소16,74,48,"rgb(116,217,0)",37.58686111,126.9967
종로구,피자 알보로 앞,65,42,"rgb(116,217,0)",37.568185,126.964686
종로구,서울_C2예비27,87,56,"rgb(255,189,0)",37.570192,127.015998
종로구,중구,39,26,"rgb(116,217,0)",37.5643,126.9747
종로구,서울1045_C2,66,40,"rgb(116,217,0)",37.620436,127.028721
종로구,서울추가42,85,46,"rgb(255,189,0)",37.583023,127.029189
종로구,kt광화문1,37,24,"rgb(116,217,0)",37.5717,126.9777
종로구,서울220,85,46,"rgb(255,189,0)",37.564079,127.02992
종로구,창신동,63,41,"rgb(116,217,0)",37.571644,127.012964
종로구,서울18,50,31,"rgb(116,217,0)",37.612242,127.030417
종로구,서울_명소11,100,55,"rgb(255,189,0)",37.544978,127.039458
종로구,kt광화문5,20,13,"rgb(0,201,250)",37.5717,126.9777
종로구,서울164,87,56,"rgb(255,189,0)",37.576002,127.002575
종로구,피자 알보로 앞,65,42,"rgb(116,217,0)",37.568185,126.964686
종로구,서울18,50,31,"rgb(116,217,0)",37.612242,127.030417
종로구,서울270,66,36,"rgb(116,217,0)",37.601101,127.033775
종로구,광화문사옥15층,29,18,"rgb(0,201,250)",37.571726,126.977917
종로구,서울220,85,46,"rgb(255,189,0)",37.564079,127.02992
중구,서울67,54,29,"rgb(116,217,0)",37.591538,127.012957
중구,서울294,32,20,"rgb(116,217,0)",37.566987,126.982366
중구,중구,39,26,"rgb(116,217,0)",37.5643,126.9747
중구,서울192,60,39,"rgb(116,217,0)",37.572374,127.012881
중구,서울_1072_C2,70,38,"rgb(116,217,0)",37.548281,127.016669
중구,kt광화문1,37,24,"rgb(116,217,0)",37.5717,126.9777
중구,서울명소5,85,45,"rgb(255,189,0)",37.550068,126.942143
중구,애완용품점 앞,39,21,"rgb(116,217,0)",37.547015,126.944465
중구,관측망9,315,223,"rgb(255,0,0)",37.55558,126.934927
중구,서대문구,40,25,"rgb(116,217,0)",37.5767,126.9378
중구,서울262,177,145,"rgb(255,90,0)",37.565709,126.987855
중구,서울C2예비28,81,52,"rgb(255,189,0)",37.573773,127.01873
중구,100년 설렁탕 앞,60,33,"rgb(116,217,0)",37.588061,127.009885
중구,서울명소4,57,37,"rgb(116,217,0)",37.58116944,126.9853028
중구,서대문 보건소 옆,27,16,"rgb(0,201,250)",37.5784,126.9361
중구,서울명소16,74,48,"rgb(116,217,0)",37.58686111,126.9967
중구,홍제동신한은행앞,69,42,"rgb(116,217,0)",37.587612,126.945106
중구,서울_C2예비29,227,147,"rgb(255,0,0)",37.578378,127.015204
중구,한강대로,47,34,"rgb(116,217,0)",37.5491,126.9704
중구,서울192,60,39,"rgb(116,217,0)",37.572374,127.012881
중구,서울C2예비28,81,52,"rgb(255,189,0)",37.573773,127.01873
중구,100년 설렁탕 앞,60,33,"rgb(116,217,0)",37.588061,127.009885
중구,서울명소4,57,37,"rgb(116,217,0)",37.58116944,126.9853028
중구,서대문 보건소 옆,27,16,"rgb(0,201,250)",37.5784,126.9361
