name,lat,lon,val,clr
상계1동1,37.6752,127.0537,34,rgb(116,217,0)
장안제1동1,37.5616,127.0650,-999,"rgb(0,201,250)"
왕십리제2동1,37.5610,127.0359,22,"rgb(0,201,250)"
사직동1,37.5699,126.9763,63,"rgb(116,217,0)"
사직동2,37.5717222,126.977746,33,"rgb(116,217,0)"
사직동3,37.571722,126.977794,43,"rgb(116,217,0)"
사직동4,37.5723,126.9773,42,"rgb(116,217,0)"
사직동5,37.5719,126.9771,-999,"rgb(0,201,250)"
사직동6,37.571725,126.977862,38,"rgb(116,217,0)"
사직동7,37.5710,126.9735,23,"rgb(0,201,250)"
시흥제2동1,37.4524,126.9189,29,"rgb(0,201,250)"
개포2동1,37.4862,127.0713,41,"rgb(116,217,0)"
시흥제1동1,37.4486,126.8980,38,"rgb(116,217,0)"
시흥제1동2,37.4477,126.9003,43,"rgb(116,217,0)"
시흥제2동2,37.4518,126.9199,41,"rgb(116,217,0)"
시흥제2동3,37.4495,126.9175,50,"rgb(116,217,0)"
시흥제5동1,37.4490,126.9114,36,"rgb(116,217,0)"
성내제1동1,37.5278,127.1264,31,"rgb(116,217,0)"
내곡동1,37.4471,127.0548,-999,"rgb(0,201,250)"
내곡동2,37.4470,127.0559,-999,"rgb(0,201,250)"
내곡동3,37.4363,127.0635,32,"rgb(116,217,0)"
내곡동4,37.4355,127.0681,9,"rgb(0,201,250)"
사직동8,37.571726,126.977917,55,"rgb(116,217,0)"
석촌동1,37.5011,127.1077,86,"rgb(255,189,0)"
쌍문제3동1,37.6471,127.0340,43,"rgb(116,217,0)"
미아동1,37.6270,127.0255,63,"rgb(116,217,0)"
가락본동2,37.4903,127.1242,76,"rgb(116,217,0)"
송파1동1,37.5032,127.1130,58,"rgb(116,217,0)"
풍납1동1,37.5325,127.1214,54,"rgb(116,217,0)"
연남동1,37.5661,126.9302,40,"rgb(116,217,0)"
천호제1동1,37.5425,127.1419,42,"rgb(116,217,0)"
성북동2,37.5882,127.0099,31,"rgb(116,217,0)"
하계2동1,37.6333,127.0706,1,"rgb(0,201,250)"
천호제2동1,37.5446,127.1256,64,"rgb(116,217,0)"
쌍문제1동1,37.6412,127.0289,53,"rgb(116,217,0)"
남가좌제1동1,37.5689,126.9159,59,"rgb(116,217,0)"
수유제1동1,37.6335,127.0175,33,"rgb(116,217,0)"
천호제3동2,37.5412,127.1305,-999,"rgb(0,201,250)"
상계9동1,37.6604,127.0671,59,"rgb(116,217,0)"
거여1동2,37.4979,127.1469,88,"rgb(255,189,0)"
천호제1동2,37.5379,127.1401,57,"rgb(116,217,0)"
동선동1,37.5940,127.0203,84,"rgb(255,189,0)"
둔촌제2동2,37.5344,127.1429,52,"rgb(116,217,0)"
수유제2동1,37.6429,127.0232,31,"rgb(116,217,0)"
방이2동1,37.5142,127.1231,81,"rgb(255,189,0)"
홍은제2동2,37.5820,126.9365,59,"rgb(116,217,0)"
석촌동2,37.5011,127.1078,47,"rgb(116,217,0)"
북가좌제1동1,37.5780,126.9100,61,"rgb(116,217,0)"
정릉제2동1,37.6046,127.0114,34,"rgb(116,217,0)"
응암제3동1,37.5898,126.9176,34,"rgb(116,217,0)"
공릉1동1,37.6265,127.0729,44,"rgb(116,217,0)"
월계3동1,37.6197,127.0746,39,"rgb(116,217,0)"
쌍문제3동2,37.6437,127.0330,62,"rgb(116,217,0)"
잠실7동2,37.5112,127.0777,13,"rgb(0,201,250)"
길음제2동1,37.6092,127.0301,53,"rgb(116,217,0)"
풍납2동1,37.5293,127.1161,67,"rgb(116,217,0)"
월계3동2,37.6162,127.0751,26,"rgb(0,201,250)"
방이2동2,37.5090,127.1116,89,"rgb(255,189,0)"
가락본동3,37.4923,127.1181,68,"rgb(116,217,0)"
거여1동3,37.4926,127.1446,33,"rgb(116,217,0)"
천호제3동3,37.5349,127.1345,64,"rgb(116,217,0)"
방이2동3,37.508,127.115,-999,"rgb(0,201,250)"
불광제1동1,37.6121,126.9315,59,"rgb(116,217,0)"
공릉2동1,37.6218,127.0866,12,"rgb(0,201,250)"
월계1동1,37.6155,127.0678,9,"rgb(0,201,250)"
장안제2동1,37.5740,127.0719,38,"rgb(116,217,0)"
수유제3동1,37.6342,127.0235,44,"rgb(116,217,0)"
송파2동1,37.5014,127.1226,64,"rgb(116,217,0)"
